feature,family,mean_abs_weighted_shap,mean_weighted_shap,importance_fraction
mc3__xtb_mc3_xtb_q_H_mean_min,Three-conformer xTB,0.000785788081480774,-8.040280396845928e-05,0.0003219413657502594
mc3__xtb_mc3_xtb_q_O_sum_std,Three-conformer xTB,0.0007784072329131976,0.0001534324471584216,0.00031891739462592834
mc3__xtb_mc3_xtb_qcov_anisotropy_range,Three-conformer xTB,0.000766770318380922,5.5069600944546706e-05,0.00031414969167148805
cheap__v5__v5_mmffq_topo4_abs_qprod,2D descriptors,0.0007635327083588489,-7.640510557470422e-05,0.0003128232264108942
mc3__xtb_mc3_xtb_abs_charge_moment2_min,Three-conformer xTB,0.0007613792488335425,-0.0001226591446669021,0.0003119409431121216
atom3d__q_vec_x_max,Atom-resolved 3D,0.0007611323818990529,7.348085574781761e-05,0.00031183980047593094
cheap__v5__v5_mmffq_epair_N_O_signedq,2D descriptors,0.0007610161130508414,-0.0001320580149612859,0.0003117921645386221
single__xtb_q_H_sum,Single-conformer xTB,0.0007599564251026508,-0.00027628393864266717,0.00031135800500712777
mc3__xtb_mc3_xtb_qcov_planarity_max,Three-conformer xTB,0.0007596479068864577,-7.171717126336112e-05,0.00031123160352787284
mc3__xtb_mc3_xtb_q_H_sum_min,Three-conformer xTB,0.0007596202742417833,-1.2136509760925747e-05,0.00031122028229308265
single__xtb_q_Cl_mean,Single-conformer xTB,0.0007590097058464543,-0.0005694350751367346,0.0003109701293221878
mc3__xtb_mc3_xtb_q_Br_abs_sum_lowe,Three-conformer xTB,0.0007546869341305488,-0.0002204524515099081,0.00030919906780720193
atom3d__signed_cov_eig2_boltz,Atom-resolved 3D,0.0007539692035905213,-0.00023980540726466822,0.0003089050099616545
atom3d__charge_min_max,Atom-resolved 3D,0.00074989494855884,0.00014093803434877278,0.00030723576699369983
cheap__v3__rd3d_whim_083,2D descriptors,0.0007494185222852734,0.0001491841615754938,0.00030704057273101476
mc3__xtb_mc3_xtb_pair_abs_q_dist2_sum_range,Three-conformer xTB,0.0007485668510317716,-5.2033931642579565e-05,0.00030669163869525553
cheap__v4__v4_gast_q_F_sum,2D descriptors,0.0007470856432180531,-1.1743722054352279e-05,0.00030608478033516197
atom3d__quad_frobenius_lowe,Atom-resolved 3D,0.0007459312983015294,6.297969042944575e-05,0.0003056118393632498
cheap__v4__v4_gast3d_dipole_per_heavy_atom_max,2D descriptors,0.000744761099975755,-5.804258583814779e-05,0.00030513240316909355
mc3__xtb_mc3_xtb_q_H_std_mean,Three-conformer xTB,0.0007441072312988519,0.00012345172939645378,0.0003048645098530397
cheap__v3__rd3d_getaway_076,2D descriptors,0.0007402359271456913,-6.808023248500039e-05,0.0003032784168902213
mc3__xtb_mc3_xtb_q_O_std_lowe,Three-conformer xTB,0.0007373091147371227,-4.8653456401507235e-05,0.0003020792869895314
cheap__v5__v5_mmffq_rbin5_abs_qprod,2D descriptors,0.0007318230725499589,-0.0002901591467942751,0.00029983162765755123
