group,nearest_tanimoto,id
Evaluation,0.6,6468
Evaluation,0.5555556,6479
Evaluation,0.5625,6481
Evaluation,0.4090909,6486
Evaluation,0.57894737,6507
Evaluation,0.3,6510
Evaluation,0.26086956,6529
Evaluation,0.29411766,6533
Evaluation,0.3181818,6539
Evaluation,0.3809524,6546
Evaluation,0.42857143,6548
Evaluation,0.36363637,6554
Evaluation,0.53333336,6559
Evaluation,0.4375,6571
Evaluation,0.47368422,6611
Evaluation,0.75,6618
Evaluation,1.0,6620
Evaluation,0.25,6625
Evaluation,0.53333336,6627
Evaluation,0.42105263,6628
Evaluation,0.5,6632
Evaluation,0.5,6643
Evaluation,0.6363636,6657
Evaluation,0.53333336,6660
Evaluation,0.4375,6665
Evaluation,0.6666667,6671
Evaluation,0.625,6675
Evaluation,0.35,6678
Evaluation,0.5714286,6682
Evaluation,0.33333334,6694
Evaluation,0.61538464,6707
Evaluation,0.2857143,6712
Evaluation,0.3125,6735
Evaluation,0.4375,6739
Evaluation,0.29411766,6740
Evaluation,1.0,6748
Evaluation,0.8,6752
Evaluation,0.5,6753
Evaluation,0.53846157,6757
Evaluation,0.5714286,6764
Evaluation,0.5714286,6786
Evaluation,0.54545456,6798
Evaluation,0.5652174,6806
Evaluation,0.47368422,6812
Evaluation,0.55,6818
Evaluation,0.6,6853
Evaluation,0.5555556,6857
Evaluation,0.52380955,6868
Evaluation,0.5555556,6872
Evaluation,0.7222222,6877
Evaluation,0.5,6886
Evaluation,0.4,6903
Evaluation,0.54545456,6904
Evaluation,0.5555556,6910
Evaluation,0.5294118,6925
Evaluation,0.5263158,6937
Evaluation,0.5217391,6939
Evaluation,0.45,6941
Evaluation,0.6363636,6952
Evaluation,0.5294118,6956
Evaluation,0.6315789,6971
Evaluation,0.6,6979
Evaluation,0.5625,7024
Evaluation,0.5625,7074
Evaluation,0.55,7107
Evaluation,0.5555556,7157
Evaluation,0.5,7160
Evaluation,0.53846157,7161
Evaluation,0.55,7164
Evaluation,0.55,7170
Evaluation,0.3846154,7185
Evaluation,0.3478261,7186
Evaluation,0.47058824,7187
Evaluation,0.5555556,7195
Evaluation,0.52380955,7249
Evaluation,0.40625,7250
Evaluation,0.53846157,7269
Evaluation,0.55,7285
Evaluation,1.0,7312
Evaluation,0.47826087,7320
Evaluation,0.54545456,7332
Evaluation,0.36,7334
Evaluation,0.4090909,7378
Evaluation,0.44444445,7388
Evaluation,0.35,7406
Evaluation,1.0,7413
Evaluation,0.5,7422
Evaluation,0.5625,7455
Evaluation,0.5416667,7501
Evaluation,0.45454547,7511
Evaluation,0.5,7521
Evaluation,0.47619048,7546
Evaluation,0.64285713,7555
Evaluation,0.5263158,7563
Evaluation,0.5714286,7569
Evaluation,0.5263158,7575
Evaluation,0.6,7578
Evaluation,0.5714286,7581
Evaluation,0.61904764,7599
Evaluation,0.5882353,7602
Evaluation,0.52380955,7606
Evaluation,0.6086956,7612
Evaluation,0.8,7631
Evaluation,0.5,7650
Evaluation,0.46666667,7664
Evaluation,0.5263158,7688
Evaluation,0.53846157,7689
Evaluation,0.53846157,7708
Evaluation,0.5217391,7712
Evaluation,0.39285713,7747
Evaluation,0.6315789,7754
Evaluation,0.52380955,7801
Evaluation,0.5714286,7802
Evaluation,0.61290324,7819
Evaluation,0.5263158,7820
