external_index,source_table,row_index,name,D,P,canonical_smiles,heavy_atoms,mol_wt,pred__cat_rank,pred__cat_raw,pred__lgbm_normal,pred__lgbm_rank,pred__lgbm_raw,pred__xgb_rank,pred__xgb_raw,P_pred__single_lgbm_raw,pred__vector_mu,score__cat_rank,score__cat_raw,score__lgbm_normal,score__lgbm_rank,score__lgbm_raw,score__xgb_rank,score__xgb_raw,score__vector_mu,D_score__final_eight_member,D_rank_desc,P_rank_desc,D_score__recomputed_subset
305,official_test,47,acetlc acid,4.42,33.634,CC(=O)O,4,60.05200000000001,0.1967889334168545,1.893544811554584,-0.9077880856638374,0.1943225497905023,1.889943298463364,0.17901307,-0.87177426,29.929334738281224,1.8441702127456665,0.3631284916201117,0.3854748603351955,0.4301675977653631,0.329608938547486,0.4245810055865922,0.2960893854748603,0.3910614525139664,0.4972067039106145,0.4009191061452514,105,170,0.41936914285714283
16,official_train,16,2-乙酰吡咯,4.6292,82.419,CC(=O)c1ccc[nH]1,8,109.12799999999996,0.5304985389069702,3.1937721203894496,0.145045182431983,0.4946745148208478,3.1424395837075663,0.5518089,0.5054689,76.74101595968946,4.347037315368652,0.7988826815642458,0.7877094972067039,0.8044692737430168,0.7821229050279329,0.7932960893854749,0.8268156424581006,0.7877094972067039,0.888268156424581,0.8394531843575419,32,73,0.8966985714285715
7,official_train,7,1-乙酰咪唑,2.1514,72.878,CC(=O)n1ccnc1,8,110.116,0.434545413223604,2.8549958848040613,-0.2601172846817818,0.4329095496387745,2.829757933488376,0.4425078,0.36082685,70.85189158028912,2.786695957183838,0.7150837988826816,0.6927374301675978,0.7039106145251397,0.7150837988826816,0.7206703910614525,0.7262569832402235,0.7653631284916201,0.7150837988826816,0.7247094972067039,47,91,0.7735482857142857
9,official_train,9,"2,2,4,4-T etramethylpentan-3-one",2.766,94.566,CC(C)(C)C(=O)C(C)(C)C,10,142.242,0.3512092166630212,2.5416004169295876,-0.3842980866713292,0.3596060941505052,2.598892636852085,0.3817248,-0.1688906,109.3744193190336,1.0953015089035034,0.6033519553072626,0.6145251396648045,0.6536312849162011,0.6424581005586593,0.6480446927374302,0.659217877094972,0.6424581005586593,0.3128491620111732,0.5066379888268157,88,30,0.5351257142857143
260,official_test,2,"2,2,5,5-T etramethylhexan-3-one",2.706,105.279,CC(C)(C)CC(=O)C(C)(C)C,11,156.26899999999998,0.3462165514604245,2.518617792074285,-0.3876537710680699,0.3623857696043254,2.648549646102144,0.3426599,-0.22132981,122.50288851025049,2.0379278659820557,0.5977653631284916,0.5977653631284916,0.6480446927374302,0.6480446927374302,0.6703910614525139,0.5977653631284916,0.6201117318435754,0.5698324022346368,0.5982241340782122,71,15,0.6279348571428572
10,official_train,10,"2,2,6,6-T etramethylheptan-4-one",2.73,117.069,CC(C)(C)CC(=O)CC(C)(C)C,12,170.296,0.361291864477223,2.410939206075572,-0.4254249312693742,0.3332552573861823,2.504680134093499,0.328115,-0.12565418,138.34359331699918,2.9014370441436768,0.6145251396648045,0.5810055865921788,0.6201117318435754,0.5921787709497207,0.6089385474860335,0.5865921787709497,0.6480446927374302,0.7374301675977654,0.6601179888268156,58,12,0.7036008571428571
107,official_train,112,t-butanol,1.73,57.017,CC(C)(C)O,5,74.12299999999999,0.1768634538269073,1.894525048024103,-1.0787245734606477,0.199571759701503,1.8334205712932472,0.22787906,-0.8071726,53.035364327178016,0.9304326176643372,0.2625698324022346,0.3910614525139664,0.2793296089385474,0.3463687150837989,0.3910614525139664,0.441340782122905,0.4134078212290503,0.2458100558659217,0.3368169832402234,124,125,0.3498934285714286
193,official_train,203,丙酮嗪,1.1683,97.069,CC(C)=NN=C(C)C,8,112.176,0.1923169614204182,1.661640570735491,-0.9819177719309184,0.2143029720735734,1.6999092306531292,0.21629342,-1.0442587,95.5892302373816,1.4613876342773438,0.3240223463687151,0.2346368715083799,0.3631284916201117,0.3966480446927374,0.2737430167597765,0.4189944134078212,0.2681564245810056,0.4078212290502793,0.3894945251396648,109,45,0.3963671428571428
291,official_test,33,丙酮肟,0.9971,50.874,CC(C)=NO,5,73.095,0.1866651121380254,1.6582185079566247,-1.1541920234189085,0.1826235880037537,1.681854381812525,0.22079088,-1.202592,50.700585750355465,1.0025925636291504,0.3072625698324022,0.2290502793296089,0.2402234636871508,0.2960893854748603,0.2681564245810056,0.4245810055865922,0.217877094972067,0.2737430167597765,0.3086639106145251,133,128,0.31690285714285715
13,official_train,13,"2,6-Dimethylheptan-4-one",2.57,95.856,CC(C)CC(=O)CC(C)C,10,142.242,0.3946687399380985,2.618576059606295,-0.2647531671998883,0.3773098753321762,2.6277387087441273,0.38034102,-0.117983595,111.76848842199882,2.6614997386932373,0.6536312849162011,0.6480446927374302,0.6983240223463687,0.664804469273743,0.659217877094972,0.6536312849162011,0.6536312849162011,0.6983240223463687,0.6747418994413408,55,26,0.7196711428571427
