external_index,source_table,row_index,name,D,P,canonical_smiles,heavy_atoms,mol_wt,pred__cat_rank,pred__cat_raw,pred__lgbm_normal,pred__lgbm_rank,pred__lgbm_raw,pred__xgb_rank,pred__xgb_raw,P_pred__single_lgbm_raw,pred__vector_mu,score__cat_rank,score__cat_raw,score__lgbm_normal,score__lgbm_rank,score__lgbm_raw,score__xgb_rank,score__xgb_raw,score__vector_mu,D_score__final_eight_member,D_rank_desc,P_rank_desc,D_score__recomputed_subset
310,official_test,52,Butylbromoacetate,3.904336,98.379333,CCCCOC(=O)CBr,9,195.056,0.4376048180569588,3.07203961957103,-0.1754053954377616,0.4186992119116113,2.7670634255443174,0.462544,0.25982383,95.89439087903725,3.2378509044647217,0.7262569832402235,0.770949720670391,0.7486033519553073,0.7039106145251397,0.6983240223463687,0.7597765363128491,0.7318435754189944,0.7597765363128491,0.7457499441340782,46,44,0.6312882352941176
275,official_test,17,"N,N-Diethylformamide",4.329,62.014,CCN(C=O)CC,7,101.149,0.7568508073406766,4.298714577293836,0.6505645040195615,0.7568622758388244,4.208748953602757,0.7393652,1.4738176,71.70835446718414,4.188502311706543,0.9273743016759776,0.9162011173184358,0.8938547486033519,0.9217877094972068,0.8994413407821229,0.9553072625698324,0.9106145251396648,0.8715083798882681,0.9073754189944132,17,88,0.9159858823529412
210,official_train,222,"2-Bromo-N,N-diethylacetamide",4.183526,103.493,CCN(CC)C(=O)CBr,9,194.072,0.7001686156848864,4.066191722142986,0.5295975087709962,0.6756516170130146,4.11477082579067,0.6484547,1.0316215,101.03753443079654,4.006525039672852,0.888268156424581,0.88268156424581,0.8659217877094972,0.8659217877094972,0.88268156424581,0.8770949720670391,0.8379888268156425,0.8435754189944135,0.8555313966480447,28,40,0.8271176470588235
41,official_train,45,Hexaethylphosphoric triamide,4.228,171.194,CCN(CC)P(=O)(N(CC)CC)N(CC)CC,17,263.36599999999993,0.4701582667064082,2.711780267869532,-0.3250547499072875,0.4894002786440124,2.8393255518963274,0.452455,0.5228868,157.35711054558251,3.608108758926392,0.7821229050279329,0.664804469273743,0.659217877094972,0.776536312849162,0.7318435754189944,0.7541899441340782,0.7988826815642458,0.7988826815642458,0.7830891620111731,39,5,0.6850470588235293
228,official_train,240,"Ethyl 2,2-dibromoacetate",3.42478,95.054667,CCOC(=O)C(Br)Br,8,245.89799999999997,0.3353911485706177,2.450116688153301,-0.3996521097354994,0.3414408811646095,2.4479052608277856,0.35891312,-0.3129233,90.2262205635852,2.4863126277923584,0.5642458100558659,0.5921787709497207,0.6368715083798883,0.6201117318435754,0.5865921787709497,0.6201117318435754,0.5977653631284916,0.664804469273743,0.6360578770949721,65,54,0.3695517647058823
268,official_test,10,Ethyl trichloroacetate,3.5,76.593,CCOC(=O)C(Cl)(Cl)Cl,9,191.441,0.4198252650316546,2.9821345299485467,-0.1745969036512829,0.4415468451795286,2.8938565693638587,0.41842356,0.1807662,87.71170763906989,2.8412561416625977,0.6927374301675978,0.7318435754189944,0.7541899441340782,0.7318435754189944,0.7430167597765364,0.6983240223463687,0.7094972067039106,0.7206703910614525,0.715573407821229,48,56,0.5728011764705883
38,official_train,41,Ethyl dichloroacetate,4.215,66.607,CCOC(=O)C(Cl)Cl,8,156.99599999999998,0.377364081603876,2.5763170181544135,-0.4174725830251154,0.3827137022716446,2.634851845370937,0.38298088,-0.04529968,76.37954200804276,2.8569202423095703,0.6424581005586593,0.6201117318435754,0.6256983240223464,0.6815642458100558,0.664804469273743,0.664804469273743,0.6927374301675978,0.7262569832402235,0.6976656983240224,52,75,0.5358011764705882
316,official_test,58,Bromoacetaldehyde diethyl acetal,3.476181,102.521333,CCOC(CBr)OCC,9,197.072,0.4390344596483776,2.990134911985381,-0.2591955394651402,0.4509048391371903,2.8324274095349464,0.4461926,-0.0114098,100.70627487052228,3.4162521362304688,0.7430167597765364,0.7430167597765364,0.7094972067039106,0.7430167597765364,0.7262569832402235,0.7374301675977654,0.6983240223463687,0.776536312849162,0.7497253631284916,45,41,0.6439764705882354
318,official_test,60,Diethyl sulfide,1.747,69.42448591,CCSCC,5,90.191,0.1784786183242893,1.8068654194721796,-1.0370669457330113,0.16656000075716,1.72809352753046,0.13787073,-1.0870042,67.93787937055059,1.5507993698120115,0.2681564245810056,0.3128491620111732,0.3072625698324022,0.2625698324022346,0.2849162011173184,0.1787709497206704,0.2569832402234637,0.4301675977653631,0.3117999999999999,131,96,0.13617529411764706
271,official_test,13,Hexamethylphosphoric triamide,4.34,108.101,CN(C)P(=O)(N(C)C)N(C)C,11,179.204,0.5743101915600861,3.08663202244435,-0.2182157680367229,0.4979112010728647,3.0126732835376324,0.52928793,0.5882925,122.10908253655911,3.34194278717041,0.8156424581005587,0.776536312849162,0.7318435754189944,0.7877094972067039,0.7597765363128491,0.8100558659217877,0.8100558659217877,0.770949720670391,0.7891718435754189,38,16,0.6900423529411764
